,D1i_Y_P_A_f,D1i_Y_P_L_f,D1i_Y_P_N_f,D1i_Y_P_P_f,D2i_O_P_A_f,D2i_O_P_L_f,D2i_O_P_N_f,D2i_O_P_P_f,D3i_O_P_A_f,D3i_O_P_L_f,D3i_O_P_N_f,D3i_O_P_P_f,D4i_Y_P_A_f,D4i_Y_P_L_f,D4i_Y_P_N_f,D4i_Y_P_P_f
PCSK6-AS1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
LINC02348,0,3,5,0,3,0,0,10,10,19,8,2,19,12,16,15
TM2D3,1050,328,406,409,1675,1477,576,1044,2364,1495,1032,1758,2243,1760,1455,1870
TARS3,346,291,351,169,580,1254,453,513,738,1327,663,675,735,1191,1169,767
OR4F6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WASIR2,8,0,2,0,2,2,4,2,3,3,0,7,13,36,17,17
POLR3K,1105,223,232,271,2260,899,244,465,2478,749,515,977,2182,988,765,703
SNRNP25,1082,224,308,188,2288,818,235,379,2222,764,590,763,2018,1080,901,647
RHBDF1,64,28,48,60,36,29,48,31,60,35,28,56,34,48,55,46
MPG,1192,503,640,562,1580,2062,775,1259,2642,2151,2367,2840,2325,2073,2451,2135
NPRL3,2071,737,752,599,3353,3143,936,1757,5050,3666,2332,3277,4727,3736,3369,2896
HBZ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
HBM,0,0,0,0,0,0,10,0,4,0,10,0,0,4,6,0
HBA2,60,22,28,32,29,68,24,61,63,96,62,100,263,416,314,334
HBA1,0,0,3,0,3,2,0,5,1,6,2,6,7,15,18,16
HBQ1,16,1,0,0,4,2,2,6,12,9,20,2,4,3,1,1
LUC7L,2020,1391,1256,923,2903,4979,1766,3252,3437,5364,3089,2911,3289,4543,4552,3699
FAM234A,730,374,744,386,1180,1853,842,1163,1725,1802,1429,2076,1867,1952,2727,1989
RGS11,10,4,2,0,16,4,2,14,17,10,0,7,9,6,0,19
ARHGDIG,2,4,0,6,0,0,3,0,2,2,0,8,4,0,4,4
PDIA2,3,4,0,0,0,0,2,6,3,8,0,5,3,2,3,0
AXIN1,2669,1599,1907,1408,3544,7687,2511,3805,4899,6052,3629,5383,5315,6178,6520,5690
MRPL28,1854,700,834,708,3357,2632,788,1544,4795,2607,1841,3225,5056,3519,3365,3180
PGAP6,2273,1508,2007,1487,2921,5388,1829,3659,5786,6998,4600,6373,5217,6446,8562,7726
NME4,1317,336,457,170,1714,871,369,465,2002,945,850,573,2333,1197,1424,677
DECR2,355,73,160,84,317,239,110,120,528,270,177,214,536,376,320,222
RAB11FIP3,1615,942,1103,719,2703,3721,1342,1838,3271,4414,2081,2355,3299,3631,3492,2602
LINC00235,17,10,16,10,81,44,10,42,72,57,35,60,47,89,49,52
CAPN15,7689,2355,2495,1906,10515,9651,3410,6148,18163,13672,5087,9079,12874,8574,7141,6617
PRR35,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
PIGQ,1159,803,1050,527,1619,2806,1008,1626,2559,2700,1800,1927,2712,3451,3431,2461
NHLRC4,16,24,4,14,42,98,24,74,33,129,86,140,66,136,130,108
RAB40C,711,369,529,259,974,1637,703,906,1789,1734,1381,1378,1375,1921,2116,1347
WFIKKN1,13,7,13,7,24,66,33,19,81,163,50,41,79,113,103,68
METTL26,1374,440,535,319,2254,2337,845,1336,3143,2723,1814,1925,3016,1959,2097,1529
MCRIP2,1546,221,568,249,2276,1355,603,771,2887,1595,1591,1337,2653,1176,1899,1075
WDR90,1074,434,419,306,1729,1360,562,957,2516,1563,767,644,2423,1646,1463,1082
RHOT2,5503,3202,3301,2405,7827,12615,4147,7894,12452,12069,7890,8760,11605,12007,11983,10027
RHBDL1,93,116,69,112,100,33,108,80,41,98,94,43,37,43,83,43
STUB1-DT,0,0,0,0,2,0,0,2,0,0,0,0,5,0,4,0
STUB1,4105,1519,1982,1217,6530,6033,2342,3882,8311,6008,4434,5837,8275,6040,6659,5180
JMJD8,3498,1209,1602,1008,5794,4819,1942,3201,7407,5167,3452,4514,7296,5424,5803,4245
WDR24,970,365,471,269,1592,1337,468,827,2009,1455,1009,1261,2206,1849,1634,1514
FBXL16,687,462,488,415,586,931,823,774,584,1378,1050,1004,578,667,1100,805
METRN,483,137,128,71,662,524,186,251,661,424,346,343,765,396,346,226
ANTKMT,678,284,376,217,1003,817,399,409,1223,704,618,642,1376,823,945,645
CCDC78,273,127,153,48,470,442,170,215,437,345,224,128,455,375,378,188
HAGHL,805,344,515,177,1163,1180,485,522,1316,1034,970,602,1333,1246,1284,850
CIAO3,1132,618,662,345,1570,1874,645,1082,2225,1778,1103,1697,2204,1991,1876,1583
MSLN,0,8,2,4,0,4,0,16,4,26,2,116,2,6,14,22
MSLNL,0,1,0,0,0,0,0,0,0,2,0,4,0,1,0,2
RPUSD1,1646,457,532,498,2980,2007,696,1193,3292,1611,1089,1756,3664,2135,2095,1769
CHTF18,1660,629,669,354,3432,4095,1032,1916,3983,2584,1661,1270,4767,2351,2323,1464
GNG13,33,14,10,29,29,18,17,22,21,3,30,14,27,8,11,6
LMF1,564,338,409,200,571,1090,449,1066,1097,1935,823,1411,959,1113,1140,1106
LMF1-AS1,9,8,14,7,4,37,28,26,33,35,16,64,40,31,39,25
CEROX1,838,401,283,420,989,891,306,1537,1485,1356,511,1168,2182,1296,1110,1814
SOX8,663,145,101,202,655,301,107,532,1225,527,225,705,1883,439,355,659
SSTR5-AS1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
SSTR5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1QTNF8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CACNA1H,155,170,130,95,148,229,127,156,266,409,217,185,189,174,146,151
TPSG1,0,0,0,3,1,0,0,2,2,5,4,8,8,6,0,0
TPSB2,0,28,0,10,0,8,0,2,46,218,134,160,16,46,2,18
TPSAB1,28,54,16,36,10,58,12,36,45,241,132,168,8,30,14,12
TPSD1,0,0,0,0,0,0,0,0,29,130,38,81,0,6,0,2
UBE2I,5291,2045,2290,1777,7919,7614,2766,4789,10398,8443,5087,7179,10120,9394,8677,7317
BAIAP3,383,244,333,168,714,1446,841,659,752,888,680,473,822,764,1148,609
TSR3,2344,604,785,646,4241,3454,1059,1702,5221,2813,1967,3131,5058,3047,2962,2356
GNPTG,1476,1111,1983,1166,1862,4276,2231,2656,2771,4142,2977,3681,2853,3992,6764,4967
UNKL,1344,1063,1384,884,1827,4937,1595,3341,2989,5458,2639,2987,3072,4452,4409,3590
C16orf91,492,126,146,109,838,516,144,236,984,436,434,652,1038,728,572,606
PERCC1,0,0,4,0,8,13,4,16,15,12,6,4,5,5,20,12
CCDC154,111,102,145,89,205,685,206,545,172,503,156,240,394,487,562,391
CLCN7,4536,3173,4591,3312,5556,12218,4336,9790,10481,9931,6709,14336,9539,9650,13854,14275
PTX4,2,0,0,0,8,0,0,0,2,2,4,4,1,4,0,2
TELO2,2475,879,867,636,4327,3924,1251,2686,6635,3734,1978,3327,5815,4421,3714,3597
IFT140,320,181,386,117,519,771,341,373,528,769,444,358,730,912,935,540
TMEM204,648,562,1062,419,715,1937,1321,993,1243,2698,3047,2339,1167,1607,2305,1582
CRAMP1,1623,1049,1256,660,2604,4321,1630,2574,3817,5203,2359,3161,3667,4681,4318,3566
JPT2,2927,609,804,540,5195,2716,1001,1443,6292,3009,1769,2873,6305,3626,3027,2383
MAPK8IP3,4423,4070,4755,2204,5642,15557,6210,9575,8016,15780,7738,7335,8056,15058,15816,10893
MAPK8IP3-AS1,0,0,0,0,1,0,0,0,4,2,2,0,0,2,2,0
NME3,494,367,413,284,800,1282,505,689,1195,1516,1565,1323,923,1240,1262,925
MRPS34,2461,532,698,414,4208,2329,906,1315,5117,2528,1772,2230,5643,2456,2565,1876
EME2,3641,2903,3171,1876,5118,10871,4175,6767,7491,10895,8362,7854,7397,10038,10680,8403
SPSB3,1952,2278,2513,1518,2424,8532,3327,5176,3687,7986,6823,5709,3766,7556,8081,6311
NUBP2,1798,710,890,657,2777,3614,1265,1668,4126,3324,2828,2916,4082,3355,3394,2583
IGFALS,23,21,15,16,16,13,17,14,12,63,18,60,7,20,33,30
HAGH,1028,673,979,709,1309,2236,913,1324,2390,2657,2245,2413,1863,2254,3073,2114
FAHD1,582,178,260,144,894,630,304,354,992,450,346,692,1021,777,798,648
MEIOB,3,1,2,6,4,1,0,1,5,8,13,3,8,9,2,4
LINC00254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HS3ST6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSRB1,1140,282,346,332,1498,885,377,583,2750,1202,1116,2218,2401,1330,1337,1308
RPL3L,0,0,0,0,5,6,0,0,0,0,0,0,0,7,0,1
NDUFB10,2159,761,994,625,3149,3022,1193,1617,3305,2557,2406,2688,4004,3028,3468,2631
RPS2,53221,15384,19085,14305,87935,84321,22632,33840,126862,81560,71177,76998,120679,86450,75034,62771
SNHG9,132,62,80,38,248,300,160,204,155,252,298,211,224,183,288,180
RNF151,0,4,4,0,4,1,0,0,1,3,0,0,2,8,0,2
TBL3,3213,691,788,471,5473,3034,925,1492,7140,3121,1813,2718,7675,3700,2909,2684
NOXO1,60,23,37,15,91,105,36,55,123,52,57,93,167,114,73,73
GFER,821,358,505,328,1366,1926,604,1043,1996,1595,1097,1534,1951,1871,1641,1395
SYNGR3,258,164,120,131,321,400,79,199,361,305,96,245,360,514,389,230
ZNF598,4067,1445,1597,1113,6536,6603,1752,3823,9650,7131,3156,4932,9013,7023,6106,4920
NPW,130,0,0,4,250,46,13,56,352,44,32,101,341,69,40,111
SLC9A3R2,146,101,109,62,198,160,106,118,210,228,196,155,246,129,170,138
NTHL1,390,88,98,60,659,493,203,197,375,362,192,184,843,407,358,245
TSC2,3317,2094,2608,1588,5067,9069,3245,5211,8085,11781,4915,6276,7220,8844,8363,6973
PKD1,5027,2505,3256,1726,6977,10339,4068,5464,9920,14661,5088,6790,9386,10410,9154,7937
PKD1-AS1,137,62,115,38,166,265,106,140,304,436,231,169,231,229,245,160
RAB26,4,10,2,6,13,8,10,4,21,11,14,2,25,9,19,3
SNHG19,106,30,35,12,167,159,50,71,159,105,136,106,159,116,106,111
TRAF7,4054,1596,1997,1446,6513,6516,1990,3576,8964,6350,3528,5869,8416,7041,6944,6289
CASKIN1,721,358,436,291,1172,1397,347,752,1589,1391,678,988,1402,1173,1355,1073
MLST8,1632,340,548,309,3038,1669,562,1033,3620,1781,1629,1572,4378,2548,2417,1664
BRICD5,155,163,238,102,411,870,292,425,350,661,443,347,447,580,696,428
PGP,1242,662,806,432,2304,2058,870,1166,2489,1875,1475,1378,2438,1752,2148,1269
E4F1,1686,1044,1152,782,2513,3867,1313,2480,3753,4081,2675,2729,3506,3956,3898,3260
DNASE1L2,19,26,39,6,60,195,53,136,66,89,79,35,124,183,148,100
ECI1,722,333,372,409,963,1089,378,774,1183,1139,1088,1378,1399,1334,1332,1099
ECI1-AS1,41,19,15,14,32,53,23,47,43,47,41,42,52,54,58,44
RNPS1,7793,2284,2242,1969,13000,8783,2710,5905,16334,9653,5417,9877,16633,10709,9286,9258
MIR3677HG,17,33,29,10,29,58,33,67,59,55,44,23,49,67,81,41
ABCA3,244,256,283,139,448,765,431,300,557,836,488,252,588,631,821,394
CCNF,267,105,149,68,560,423,155,152,698,373,243,187,772,647,460,262
TEDC2,349,18,2,6,717,46,18,37,804,62,32,42,910,104,44,32
TEDC2-AS1,17,0,0,10,4,9,6,4,14,2,0,0,11,19,2,0
NTN3,12,20,4,4,8,11,12,4,17,2,0,12,7,5,0,3
TBC1D24,751,329,310,234,1211,1004,413,621,1777,1341,503,788,1577,1107,1012,778
ATP6V0C,5425,2740,5274,4630,6817,7844,4528,7413,12423,9296,10698,14457,11888,11423,24499,28779
AMDHD2,906,562,1071,910,1281,3241,1358,2105,1778,2159,1607,2495,1811,2169,3581,3573
CEMP1,230,179,300,183,454,1129,418,583,488,735,460,579,528,682,1064,899
PDPK1,2645,1364,1936,1328,4134,4932,2441,3052,5778,5757,2582,4633,5631,6096,6760,6193
ERVK13-1,527,367,457,322,953,1584,558,1144,1324,1995,729,1112,1239,1493,1435,1188
KCTD5,1911,665,1037,906,2729,2309,1174,1488,4663,2304,1734,3019,3855,3067,4627,4954
PRSS27,27,6,10,11,26,64,8,36,46,39,22,50,63,53,70,35
SRRM2-AS1,42,24,26,4,73,98,17,43,81,112,44,51,92,93,98,69
SRRM2,44019,26309,31457,16580,56994,106072,38088,78208,89281,156292,54185,72693,79398,107536,107794,88418
ELOB,2592,926,1335,952,4078,3320,1404,1646,4996,3406,3770,3570,5494,3911,4745,3067
PRSS33,0,0,0,0,0,4,0,2,2,0,0,0,4,6,2,0
PRSS41,0,0,0,0,2,0,0,4,0,0,2,0,0,0,0,0
PRSS21,47,8,21,16,668,224,68,202,198,70,17,37,294,125,80,75
ZG16B,0,2,6,4,2,15,10,12,22,17,12,16,13,21,14,62
PRSS22,0,44,4,6,14,40,16,4,7,60,2,22,8,71,16,4
FLYWCH2,554,230,339,230,833,988,408,438,1116,959,1084,948,1048,1037,1114,717
FLYWCH1,1497,1164,1193,716,3667,10963,3998,6475,4374,7882,4080,3835,3047,4361,4378,2945
KREMEN2,12,0,16,15,20,23,6,17,45,18,26,22,75,32,44,54
PKMYT1,538,34,226,138,1647,120,197,161,1482,199,179,167,2725,344,644,876
PAQR4,439,64,388,243,959,177,285,239,1093,289,324,281,2041,413,1117,1546
GREP1,0,0,2,0,0,3,2,6,1,1,0,1,3,3,5,1
CLDN9,0,0,2,0,0,0,0,0,3,0,0,3,0,0,2,0
CLDN6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
TNFRSF12A,478,116,196,147,236,91,70,86,396,168,252,146,597,245,393,175
HCFC1R1,802,338,468,246,1214,1300,397,756,1791,1508,956,1036,1990,1489,1656,1175
THOC6,1495,378,433,291,2457,1466,553,963,3591,1946,1101,1797,3518,1844,2053,1513
BICDL2,50,15,10,5,56,32,15,18,83,45,18,46,80,35,33,29
MMP25-AS1,1297,595,572,403,1835,2422,871,1808,3007,4476,1657,1669,1995,2096,1892,1505
MMP25,896,412,386,294,1088,1083,458,1142,2322,1988,958,1580,1364,1232,1197,1538
IL32,5691,1351,1006,1050,19304,10395,2281,4670,22354,11868,8025,9180,21580,10208,6018,5032
ZSCAN10,0,0,2,0,2,2,2,0,6,2,2,2,0,9,3,3
ZNF213-AS1,297,212,232,234,441,831,376,529,498,887,573,599,502,693,701,530
ZNF205,52,54,88,13,27,66,91,54,76,64,102,85,69,71,209,141
ZNF213,616,357,497,359,952,1287,501,963,1402,1635,954,1483,1622,1838,1912,1830
OR1F1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
ZNF200,376,288,316,337,850,984,334,653,915,995,581,1043,1084,1507,1294,1506
MEFV,413,246,101,1125,337,249,130,1872,2218,850,425,3663,755,380,572,4317
LINC00921,33,64,118,48,54,287,169,165,91,277,233,241,97,306,374,203
ZNF263,1780,859,924,739,2304,3784,1117,1903,3266,3524,1932,3071,3554,3989,3624,3271
TIGD7,219,143,201,130,367,728,250,367,456,699,409,536,529,641,647,464
ZNF75A,667,314,350,355,1135,1555,568,1058,1533,1792,870,1640,1664,1835,1660,1648
OR2C1,0,0,4,4,2,4,4,2,0,7,2,4,3,2,12,0
ZSCAN32,787,505,536,491,1097,1813,507,1077,1596,1705,906,1690,1690,2226,1822,1973
ZNF174,327,167,234,116,345,909,312,403,628,692,421,683,636,828,826,586
ZNF597,148,88,160,156,375,449,141,288,525,585,250,456,405,646,609,574
NAA60,2005,1132,1291,1152,2895,3951,1541,3240,4513,4853,2589,5584,3857,4581,4817,5496
C16orf90,0,3,0,0,0,0,0,0,4,1,14,13,0,0,0,2
CLUAP1,494,403,338,409,731,1423,380,916,990,1623,836,1966,1333,1652,1134,1570
NLRC3,3332,3788,5848,2621,3698,14233,6054,6705,5499,16273,8110,7967,7104,14346,14056,11016
SLX4,1030,537,800,478,1463,1912,801,1180,2279,2601,1183,1737,2243,2342,2671,2853
DNASE1,3541,1407,1756,955,6213,6246,2218,3844,7240,7144,3176,4393,7471,5948,5296,4578
TRAP1,6253,1079,1078,925,12184,4588,1495,2926,13582,4800,2330,3639,13410,6355,5138,4585
CREBBP,8905,5701,6937,4504,11178,20901,8214,12155,17339,28654,10228,18448,15794,24558,22898,25462
LINC02861,5,0,4,4,6,2,0,2,1,8,1,2,12,11,24,9
ADCY9,669,519,650,648,889,1522,902,1243,1727,2063,947,2879,1154,1636,2013,2723
SRL,2,0,0,0,2,0,0,6,0,0,6,0,0,0,0,2
LINC01569,80,45,106,38,102,276,90,121,106,324,163,200,139,267,217,200
TFAP4,1189,244,270,232,2310,1740,573,903,2619,1910,1027,1146,2833,1511,1286,1160
GLIS2,122,79,44,43,181,154,81,109,186,224,102,151,176,109,96,105
GLIS2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAM16,713,232,192,159,1006,803,237,593,1526,1347,610,939,1275,754,591,575
CORO7,2261,1330,2417,1652,3666,5532,2811,4354,6286,5700,3665,6080,5736,6399,9562,9647
VASN,49,26,15,37,39,19,20,46,57,55,33,35,75,68,65,83
DNAJA3,3535,926,1000,893,6348,3989,1251,2290,7824,4430,2426,4135,7688,4763,3648,3549
NMRAL1,552,238,411,243,1116,1537,590,975,1412,1415,1091,1535,1784,1497,1696,1722
HMOX2,2104,553,813,485,4176,2948,1356,1558,4476,2598,1748,2490,4733,2823,3076,2416
CDIP1,1307,524,750,644,2295,2114,1082,1477,2838,2067,1326,2322,3645,2419,2886,3094
C16orf96,2,12,12,0,11,49,24,23,10,31,39,26,8,28,13,37
UBALD1,594,824,705,422,919,2360,895,1370,1127,2655,1674,1981,1518,2617,2995,2123
MGRN1,2609,1255,1872,1342,5088,6271,2589,4800,7826,7071,3631,7402,6694,6716,7535,7452
NUDT16L1,1010,466,782,486,1550,1902,776,886,2057,1763,1516,2011,2003,2168,2239,1437
ANKS3,484,303,330,187,760,1144,365,657,962,1077,643,822,920,1138,1044,771
DNAAF8,8,4,24,10,19,27,31,19,25,41,36,23,26,25,38,41
ZNF500,364,329,352,278,571,1075,431,748,958,1371,845,1109,1011,1479,1433,1296
SEPTIN12,0,0,0,0,0,2,0,0,0,0,0,0,5,1,0,0
SMIM22,0,0,2,0,4,2,4,5,4,2,2,2,9,5,4,0
ROGDI,286,173,182,136,340,531,282,327,412,443,474,291,740,602,1031,707
GLYR1,5374,2561,2812,2315,8687,9305,3414,5265,10768,9309,4828,8299,11788,10990,11083,9554
UBN1,3578,1822,2170,1473,5156,6731,2287,3450,7166,6383,3284,5324,6882,7969,6848,6483
PPL,8,4,6,0,9,9,5,2,22,33,41,5,4,25,12,12
SEC14L5,12,6,0,8,2,2,6,0,0,0,1,8,2,0,2,2
NAGPA,717,441,768,434,980,1792,891,1042,1440,2076,1291,1862,1765,1882,3002,1802
ALG1,1226,292,465,362,2480,1353,553,821,3109,1573,900,1515,3319,1661,1471,1260
C16orf89,4,0,17,0,0,2,0,0,2,1,4,1,0,1,0,9
EEF2KMT,869,225,291,247,2110,951,401,690,2473,1293,655,1307,2753,1222,1015,983
LINC02164,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RBFOX1,320,340,188,296,214,50,197,200,32,88,153,87,35,36,54,38
LINC01570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM114,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
METTL22,377,253,277,148,415,812,346,524,652,906,495,715,757,896,954,782
ABAT,610,426,602,414,585,1338,547,767,1178,1580,744,988,1024,1467,1238,1103
TMEM186,339,98,179,102,531,688,178,305,745,572,416,560,665,692,641,501
PMM2,2808,606,630,406,4185,1897,743,1462,5844,2676,1306,2771,5266,2893,2824,2181
CARHSP1,525,462,643,410,899,1864,928,1213,1313,1915,1287,1500,1808,2243,2149,1609
CARHSP1-DT,0,0,0,0,0,0,0,0,2,3,0,0,0,4,0,4
LITAFD,0,0,0,0,2,0,2,0,0,0,0,0,4,2,2,2
USP7,7887,3321,3478,2273,11947,10947,4590,5956,14459,11768,5771,8245,14401,13481,11762,10474
USP7-AS1,20,4,2,6,2,4,2,2,0,4,10,13,7,10,11,3
C16orf72,4394,2304,2305,2044,6335,7316,2815,4610,9250,7949,3963,6726,7620,9035,7275,7483
LINC02177,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0
LINC01177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRIN2A,52,64,22,58,18,6,18,16,2,10,12,8,6,6,4,4
ATF7IP2,285,178,290,177,481,826,422,596,683,1023,521,864,617,890,672,935
LINC01290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP2,28,16,0,20,4,28,12,28,28,60,52,46,6,84,76,6
TEKT5,0,0,0,0,0,0,2,2,0,2,0,2,4,0,0,0
NUBP1,1119,441,651,526,1647,1364,616,1043,2347,1440,1185,1992,2522,2010,2558,2576
TVP23A,607,307,357,330,832,755,344,588,1175,1103,888,1421,1291,1254,1427,1495
CIITA,3888,2533,3887,2558,4861,7524,3854,6555,8148,10000,6522,8916,11848,11336,14130,12518
DEXI,1005,458,714,373,1362,2016,897,1167,1819,1893,1317,1585,2201,2052,2027,1683
CLEC16A,1958,664,1047,657,3280,3072,1071,1741,5073,4397,1942,3955,4118,3983,3297,3174
RMI2,383,74,47,75,1006,180,61,209,1079,290,171,930,1691,579,329,654
SOCS1,7475,1914,294,1622,10250,3816,170,4143,20787,8175,3327,17890,15344,9223,3087,5386
TNP2,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,2
PRM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LITAF,6162,3190,3353,2549,9467,10828,4599,5703,16516,9903,7410,13791,13604,11544,11711,10597
SNN,1585,519,1051,2617,1655,2027,1055,3185,3873,2446,1782,6076,3395,2592,3788,14303
TXNDC11,1920,918,1261,1196,2804,3420,1280,2473,4644,3858,2449,5196,4275,4501,4797,6185
ZC3H7A,2358,1458,1365,1185,3725,7046,1511,2893,4860,6342,2435,5208,4934,7594,5168,6032
BCAR4,0,0,0,0,0,2,0,0,2,2,0,0,0,2,0,0
RSL1D1,9179,2248,2421,1813,15396,9850,2912,4581,17712,8561,6140,9769,18107,11670,9721,8691
RSL1D1-DT,14,0,3,2,17,12,3,7,25,24,3,8,21,10,25,32
GSPT1,7371,2225,2267,1867,13013,7738,2650,3625,14718,8387,3666,6446,18417,11668,9021,8030
NPIPB2,8,18,13,8,29,64,14,19,27,51,52,36,30,83,78,65
TNFRSF17,6,12,4,18,8,17,8,28,7,43,25,32,32,54,28,58
SNX29,855,568,1528,666,1284,2227,1616,1177,1667,2322,1384,1670,2001,2838,4682,3338
CPPED1,708,346,950,494,1010,596,1003,647,1982,1006,1096,1816,2055,1229,3655,2600
SHISA9,54,70,36,62,28,12,32,42,0,24,8,24,12,14,8,12
ERCC4,488,202,286,213,961,833,400,461,1212,906,475,727,1223,962,841,775
LINC02185,0,0,55,4,4,0,102,0,0,0,18,2,0,0,242,0
LINC02186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MRTFB,819,356,554,280,1004,1117,522,604,1358,1437,664,822,1381,1369,1335,1238
MIR193BHG,24,4,10,4,12,14,8,13,10,18,0,23,17,19,6,16
LINC02130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARN,1433,579,737,500,2417,2514,926,1428,3103,2281,1337,2085,3385,2971,2449,2292
BFAR,1588,719,768,829,2821,2815,898,1663,4059,2549,1720,3511,3743,3467,3121,3399
PLA2G10,4,2,3,0,10,22,2,10,13,19,2,15,7,9,16,4
NPIPA3,0,0,0,14,0,4,0,2,0,6,4,0,0,1,8,5
NPIPA2,0,0,0,3,2,3,2,1,0,6,4,0,0,0,6,0
NOMO1,1030,274,469,277,1418,1389,442,734,2369,1415,734,1265,2024,1643,1587,1292
NPIPA1,1003,649,823,444,1279,2138,834,1375,1526,2299,954,1347,1712,2119,2004,1839
PDXDC1,3358,1650,2823,1792,4886,8236,2712,4043,6480,7008,3451,4791,6524,6880,10028,8729
NTAN1,601,355,1032,1014,917,1570,653,934,1368,1451,1156,1219,1639,1460,3822,4504
RRN3,2361,898,1028,812,3516,3144,1042,1618,5379,3133,1497,3024,4531,4312,3187,3318
NPIPA5,14,4,11,7,106,159,44,128,163,440,163,146,99,158,157,139
MPV17L,4,28,3,0,4,4,4,4,14,14,6,4,2,9,8,8
BMERB1,409,228,273,204,380,618,286,367,373,537,426,319,415,448,527,313
MARF1,2869,2910,3727,2303,3854,13398,4474,7288,5892,14044,5442,9054,6649,12815,11224,11787
NDE1,1387,814,791,621,2079,3162,961,1710,3282,3736,1808,3411,3550,4466,3472,3426
MYH11,303,467,227,153,381,941,305,473,713,1760,603,984,728,1444,1019,848
CEP20,924,435,486,441,1419,1374,551,690,1882,1253,862,1289,1746,1670,1610,1513
ABCC1,6162,3164,3925,3357,8020,11863,3096,6987,12577,17522,8759,11489,14253,18743,16847,20936
ABCC6,19,8,11,2,6,22,12,3,15,67,29,8,13,30,27,22
NOMO3,153,70,78,48,183,144,50,74,479,305,150,256,226,201,238,144
NPIPA9,1050,623,798,393,1568,2518,923,1524,2181,3333,1241,2305,1912,2177,1900,1934
NPIPA7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
XYLT1,648,770,2351,1001,1323,3032,3233,1740,1397,3251,2013,2217,1267,2559,6317,4334
NPIPA8,12,2,17,16,13,16,18,15,0,4,3,1,22,24,16,26
NPIPA9.1,163,91,122,73,187,315,98,226,357,410,166,296,118,154,147,156
NOMO2,518,152,183,214,918,779,275,483,1307,836,372,892,1238,1017,868,898
RPS15A,13473,5461,9190,7611,21219,31118,11245,15566,25064,24995,34842,30963,28614,27955,27883,21523
ARL6IP1,3054,1682,2019,2281,4843,6066,2282,3232,6706,5420,3951,7011,7110,8223,7718,9138
SMG1,14963,6854,6759,5084,19778,20719,7877,14346,35206,38638,9672,29567,24002,24407,15670,22145
SMG1-DT,3,0,0,4,1,6,0,4,9,7,3,21,20,11,23,6
TMC7,11,2,28,10,20,2,6,6,2,2,6,2,11,4,0,6
COQ7-DT,24,8,14,13,30,17,11,18,46,18,17,16,50,30,29,29
COQ7,403,180,166,159,618,590,266,333,829,650,427,522,994,774,767,602
ITPRIPL2,1009,417,736,552,925,432,596,799,3020,980,1107,2335,2058,1306,2581,2568
SYT17,61,68,36,58,88,56,71,86,105,54,124,122,54,76,104,93
CLEC19A,0,0,0,2,0,0,4,2,0,0,0,2,2,0,4,26
LINC02858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMC5,12,2,0,0,2,8,8,6,10,11,6,2,1,4,3,6
GDE1,1056,733,1072,648,1811,2292,1175,1132,2329,1940,1483,1910,2211,2690,3680,2375
CCP110,938,470,488,504,1387,1782,625,986,1495,1500,627,1041,1430,1561,1163,1629
VPS35L,1484,634,921,792,2501,2475,1098,1283,3530,2524,1590,2788,4095,3613,3791,3465
